,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,24719,24719,24719.0,24719.0,24719.0,24719.0,24719.0,24719.0,24719.0,24719.0,24719.0,24719.0,24719,24719.0,24719.0,24719
unique,1,24719,,,,,,,,,,,2,,,2
top,ffmpeg-project-1,ffmpeg-change2-1,,,,,,,,,,,False,,,True
freq,24719,1,,,,,,,,,,,24698,,,15534
mean,,,0.8297665763178123,1.022856911687366,2.249160564747765,1.46531008535944,76.46402354138206,76.29560257291962,76.82701565597314,2.4170935342964164,2.400703911970549,2.436223148185606,,122.44068940446168,304.57538715158387,
std,,,1.1235595331276267,0.15266410576530026,4.23585741836095,1.272487718549202,391.44158407174467,396.49517681551214,394.35489566286486,10.982201925703205,10.956323464520805,11.04663412480111,,767.66608336059,1462.4440700090058,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.868333333333334,-10.205,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,11.0,11.0,11.0,1.0,1.0,1.0,,1.3783333333333334,13.0725,
75%,,,1.0,1.0,2.0,1.0,38.0,37.0,38.0,2.0,2.0,2.0,,29.198749999999997,114.81222222222223,
max,,,14.0,3.0,134.0,37.0,25300.5,25300.0,25301.0,513.0,513.0,513.0,,26739.402777777777,47614.63666666667,
