,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,129709,129709,129709.0,129709.0,129709.0,129709.0,129709.0,129709.0,129709.0,129709.0,129709.0,129709.0,129709,129709.0,129709.0,129709
unique,1,129709,,,,,,,,,,,2,,,2
top,ozlabs-project-14,ozlabs-change2-223999,,,,,,,,,,,False,,,False
freq,129709,1,,,,,,,,,,,128962,,,128697
mean,,,0.9681749146165648,1.3794879306755892,2.6321535128634097,2.803837821585241,83.66739220908676,83.30567655289919,83.8890439368124,2.689418435372017,2.6811940574670996,2.6879553461980277,,221.10463916450578,563.3980718141719,
std,,,1.1220869194755463,0.545218844955595,4.486229191174605,2.2958355961125205,708.8603012857736,718.4052235133271,710.02662098225,10.011668922940128,10.462942261439478,9.619711468754005,,1733.676392450388,2295.062951886484,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-377822.39499999996,-15.760277777777778,
25%,,,0.0,1.0,0.0,1.0,6.25,6.0,6.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,2.0,20.0,19.0,20.0,1.0,1.0,1.0,,2.985,22.914722222222224,
75%,,,1.0,2.0,3.0,4.0,57.0,56.0,57.0,3.0,3.0,3.0,,59.560833333333335,267.34583333333336,
max,,,15.0,15.0,141.0,50.0,173102.0,173102.0,173102.0,818.3333333333334,964.0,817.0,,121981.15555555555,121981.15555555555,
