metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,92648,1.7319424056644503,1.126812644432025,1.0,1.0,1.0,2.0,21.0
author_count,92648,1.0692189793627493,0.2804524906072519,1.0,1.0,1.0,1.0,6.0
comment_count,92648,4.022925481391935,5.233531811161039,1.0,1.0,2.0,5.0,149.0
iteration_count,92648,2.320578965547017,2.132012761330262,1.0,1.0,2.0,3.0,55.0
changed_lines_avg,92648,75.13689482234841,216.97086560757398,0.5,4.0,15.2,53.5,15768.0
changed_files_avg,92648,2.173302529588522,4.0287953362575415,0.3333333333333333,1.0,1.0,2.0,198.0
changed_lines_last,92648,74.7117261030999,217.62715319617578,0.0,4.0,15.0,53.0,15768.0
changed_files_last,92648,2.169771608669372,4.038598554330649,0.0,1.0,1.0,2.0,198.0
response_time,92438,321.3674821802481,2282.462590372463,0.0008333333333333,4.536111111111111,32.29388888888889,187.3178472222222,413937.6391666667
finalizing_time,92605,855.869162971162,3049.4111548946485,0.0008333333333333,34.64611111111112,176.6508333333333,672.85,416338.78555555554
is_accepted,92648,159.0,,,,,,
