metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,84104,1.0226148577951109,0.9823358231837295,0.0,0.0,1.0,1.0,13.0
author_count,84104,1.0266812517835062,0.16949292633020152,1.0,1.0,1.0,1.0,7.0
comment_count,84104,2.251593265480833,3.460925718771979,0.0,0.0,1.0,3.0,99.0
iteration_count,84104,1.8018762484542947,1.394399732024485,1.0,1.0,1.0,2.0,24.0
changed_lines_avg,84104,131.907203219239,831.9851706124442,0.0,4.0,16.0,60.0,84851.0
changed_files_avg,84104,4.623794359876219,35.949062930938354,0.0,1.0,1.0,3.0,4661.0
changed_lines_last,84104,132.05496765908876,832.7612114327048,0.0,4.0,16.0,60.0,84851.0
changed_files_last,84104,4.61352611052982,35.915684441588205,0.0,1.0,1.0,3.0,4660.0
response_time,62571,349.7540015520147,1941.2855624774759,0.0005555555555555,10.317916666666669,80.7461111111111,329.8422222222223,385774.2622222222
finalizing_time,62653,764.0178396042044,2495.4488997903977,0.0058333333333333,91.80805555555555,296.13972222222225,760.9238888888889,386012.9188888889
is_accepted,84104,62042.0,,,,,,
