,change2_original_id,patch_original_id,patch_name,correct_grouping
0,ffmpeg-change2-15309,ffmpeg-patch-35824,"[FFmpeg-devel,1/2] ffmpeg: add display_{rotation, hflip, vflip} options",1
1,,ffmpeg-patch-38289,"[FFmpeg-devel,v5,2/3] ffmpeg: Add display_{rotation, hflip, vflip, scale} options",1
2,,ffmpeg-patch-38321,"[FFmpeg-devel,v6,1/2] ffmpeg: Add display_{rotation, hflip, vflip} options",1
3,ffmpeg-change2-17097,ffmpeg-patch-11436,"[FFmpeg-devel,1/2] avcodec/fft_template: improve performance of the ff_fft_init in fft_template",1
4,,ffmpeg-patch-11511,"[FFmpeg-devel,v2] avcodec/fft_template: libavcodec/fft_template: improve performance of the ff_fft_init in fft_template",1
5,,ffmpeg-patch-11553,"[FFmpeg-devel,v3] avcodec/fft_template: improve performance of the ff_fft_init in fft_template",1
6,ffmpeg-change2-15472,ffmpeg-patch-5968,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
7,,ffmpeg-patch-6076,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
8,,ffmpeg-patch-6133,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
9,,ffmpeg-patch-6151,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
10,,ffmpeg-patch-6286,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
11,,ffmpeg-patch-6287,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
12,,ffmpeg-patch-6412,[FFmpeg-devel] Fix for ticket 6658 (Dash demuxer segfault),1
13,,ffmpeg-patch-6536,[FFmpeg-devel] libavformat/dashdec: Fix for ticket 6658 (Dash demuxer segfault),1
14,,ffmpeg-patch-6969,[FFmpeg-devel] libavformat/dashdec: Fix for ticket 6658 (Dash demuxer segfault),1
15,,ffmpeg-patch-7113,[FFmpeg-devel] libavformat/dashdec: Fix for ticket 6658 (Dash demuxer segfault),1
16,,ffmpeg-patch-7307,"[FFmpeg-devel,2/3] libavformat/dashdec: Fix for ticket 6658 (Dash demuxer segfault)",1
17,,ffmpeg-patch-7311,"[FFmpeg-devel,2/3] libavformat/dashdec: Fix for ticket 6658 (Dash demuxer segfault)",1
18,ffmpeg-change2-12523,ffmpeg-patch-12455,"[FFmpeg-devel,1/1] Prevent writing manifest files multiple times",1
19,,ffmpeg-patch-12644,"[FFmpeg-devel,1/1] libavformat/dashenc : Prevent writing manifest files multiple times",1
20,ffmpeg-change2-23979,ffmpeg-patch-1835,"[FFmpeg-devel,5/5] ffmpeg: use the typedefs more to make comparison between dxva2 and d3d11va",1
21,,ffmpeg-patch-2051,"[FFmpeg-devel,6/6] ffmpeg: dxva: use the typedefs more to make comparison between dxva2 and d3d11va",1
22,ffmpeg-change2-23043,ffmpeg-patch-29785,"[FFmpeg-devel,RFC] Add option for writing detailed filtergraph information to file or stdout",1
23,,ffmpeg-patch-29796,"[FFmpeg-devel,v2] Add option for writing detailed filtergraph information to file or stdout",1
24,,ffmpeg-patch-29797,"[FFmpeg-devel,v3] fftools: Add option for writing detailed filtergraph information to file or stdout",1
25,ffmpeg-change2-12806,ffmpeg-patch-17913,"[FFmpeg-devel,12/12] Add missing stddef.h includes for size_t.",1
26,,ffmpeg-patch-23333,"[FFmpeg-devel,3/6] lavu: add missing stddef.h includes for size_t.",1
27,ffmpeg-change2-3562,ffmpeg-patch-18548,"[FFmpeg-devel,1/7] lavc/libopenh264enc: Add default qmin/qmax support",1
28,,ffmpeg-patch-18592,"[FFmpeg-devel,01/10] lavc/libopenh264enc: Add default qmin/qmax support",1
29,,ffmpeg-patch-18699,"[FFmpeg-devel,01/10] lavc/libopenh264enc: Add default qmin/qmax support",1
30,,ffmpeg-patch-18844,"[FFmpeg-devel,v3,1/9] lavc/libopenh264enc: Add default qmin/qmax support",1
31,,ffmpeg-patch-18961,"[FFmpeg-devel,v4,1/9] lavc/libopenh264enc: Add default qmin/qmax support",1
32,,ffmpeg-patch-19306,"[FFmpeg-devel,v5,1/5] lavc/libopenh264enc: Add qmin/qmax support",1
33,,ffmpeg-patch-19351,"[FFmpeg-devel,v6,1/5] lavc/libopenh264enc: Add qmin/qmax support",1
34,ffmpeg-change2-4276,ffmpeg-patch-14906,[FFmpeg-devel] Add option to log timing,1
35,,ffmpeg-patch-14962,[FFmpeg-devel] Add option to log timing,1
36,,ffmpeg-patch-15106,"[FFmpeg-devel,v2] Add option to log timing",1
37,,ffmpeg-patch-29369,"[FFmpeg-devel,v3,1/2] Add option to log timing",1
38,,ffmpeg-patch-29374,"[FFmpeg-devel,v4,2/2] fftools: Add option to log timing",1
39,,ffmpeg-patch-29390,"[FFmpeg-devel,v5,2/2] fftools: Add option to log timing",1
40,,ffmpeg-patch-29395,"[FFmpeg-devel,v6,2/2] fftools: Add option to log timing",1
41,,ffmpeg-patch-29398,"[FFmpeg-devel,v7,2/2] fftools: Add option to log timing",1
42,ffmpeg-change2-11780,ffmpeg-patch-13913,"[FFmpeg-devel,v2,1/3] lavc/avs2_parser.c: fix for missing start code",1
43,,ffmpeg-patch-13918,"[FFmpeg-devel,v3,1/3] lavc/avs2_parser.c: fix for missing start code",1
