,change1_original_id,patch_original_id,patch_name,correct_grouping
0,ozlabs-change1-550467,ozlabs-patch-868850,"[U-Boot,7/9] rockchip: defconfig: Clean the unused pinctrl config",1
1,,ozlabs-patch-1019979,"[U-Boot,v2,7/9] rockchip: defconfig: Clean the unused pinctrl config",1
2,ozlabs-change1-560211,ozlabs-patch-120854,"[U-Boot,1/8] tegra2: Tidy UART selection",1
3,,ozlabs-patch-123527,"[U-Boot,v2,1/8] tegra2: Tidy UART selection",1
4,,ozlabs-patch-123854,"[U-Boot,v3,1/8] tegra2: Tidy UART selection",1
5,ozlabs-change1-551452,ozlabs-patch-753083,"[U-Boot,7/7] rockchip: rk3368: add Sheep board",1
6,,ozlabs-patch-762352,"[U-Boot,v2,5/7] rockchip: rk3368: add Sheep board",1
7,ozlabs-change1-539556,ozlabs-patch-196641,"[U-Boot,RFC,14/50] net: designware: Pull out init of struct eth_ops",1
8,,ozlabs-patch-200701,"[U-Boot,v2,13/67] net: designware: Pull out init of struct eth_ops",1
9,ozlabs-change1-542357,ozlabs-patch-177826,"[U-Boot,02/17] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
10,,ozlabs-patch-178877,"[U-Boot,v2,03/18] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
11,,ozlabs-patch-179428,"[U-Boot,v3,03/19] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
12,,ozlabs-patch-179923,"[U-Boot,v4,03/20] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
13,,ozlabs-patch-180291,"[U-Boot,v5,03/25] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
14,,ozlabs-patch-181004,"[U-Boot,v6,03/29] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
15,,ozlabs-patch-186644,"[U-Boot,v7,03/29] omap-common: SPL: Add CONFIG_SPL_DISPLAY_PRINT / spl_display_print()",1
16,ozlabs-change1-503321,ozlabs-patch-1177141,"[U-Boot,37/37] board: ge: bx50v3: use DM PMIC driver",1
17,,ozlabs-patch-1182419,"[U-Boot,v2,41/41] board: ge: bx50v3: use DM PMIC driver",1
18,ozlabs-change1-507425,ozlabs-patch-637473,"[U-Boot,PATCH23/23] Cmd: LED: make DM-leds toggle",1
19,,ozlabs-patch-638213,"[U-Boot,v2,22/22] Cmd: LED: make DM-leds toggle",1
20,ozlabs-change1-536470,ozlabs-patch-902007,"[U-Boot,v1,7/9] mtd: nand: mxs_nand: add support for specific ECC strength",1
21,,ozlabs-patch-933497,"[U-Boot,v2,7/9] mtd: nand: mxs_nand: add support for specific ECC strength",1
22,ozlabs-change1-536148,ozlabs-patch-1534778,mtd: Add SPI Nor Flash chip GD25LQ256D ID,1
23,,ozlabs-patch-1534784,mtd: Add SPI Nor Flash chip GD25LQ256D ID,1
24,ozlabs-change1-515840,ozlabs-patch-481748,"[U-Boot,08/11] dm: x86: minnowmax: Move PCI to use driver model",1
25,,ozlabs-patch-488514,"[U-Boot,v2,6/7] dm: x86: minnowmax: Move PCI to use driver model",1
26,,ozlabs-patch-491170,"[U-Boot,v3,6/8] dm: x86: minnowmax: Move PCI to use driver model",1
27,ozlabs-change1-524737,ozlabs-patch-120248,"[U-Boot,1/2] gpio: Add driver for Altera's PIO core",1
28,,ozlabs-patch-120996,"[U-Boot,1/2,v2] gpio: Add driver for Altera's PIO core",1
29,ozlabs-change1-515610,ozlabs-patch-466562,"[U-Boot,5/8] dm: usb: Add support for interrupt queues to the dm usb code",1
30,,ozlabs-patch-466929,"[U-Boot,v2,6/9] dm: usb: Add support for interrupt queues to the dm usb code",1
31,,ozlabs-patch-468032,"[U-Boot,v4,6/9] dm: usb: Add support for interrupt queues to the dm usb code",1
32,,ozlabs-patch-470435,"[U-Boot,v5,06/15] dm: usb: Add support for interrupt queues to the dm usb code",1
33,ozlabs-change1-488202,ozlabs-patch-537821,"[U-Boot,1/1] arm: at91: reworked meesc board support",1
34,,ozlabs-patch-538116,"[U-Boot,V2,1/1] arm: at91: reworked meesc board support",1
35,,ozlabs-patch-538870,"[U-Boot,V3,1/1] arm: at91: reworked meesc board support",1
36,ozlabs-change1-521305,ozlabs-patch-867925,"[U-Boot,2/4] env: move more common code to env_import_redund",1
37,,ozlabs-patch-867933,"[U-Boot,v2,2/4] env: move more common code to env_import_redund",1
38,ozlabs-change1-547317,ozlabs-patch-238458,"[U-Boot,09/11] powerpc/ppc4xx: Increase timeout for gdsys mclink bus startup",1
39,,ozlabs-patch-241658,"[U-Boot,v2,08/10] powerpc/ppc4xx: Increase timeout for gdsys mclink bus startup",1
40,ozlabs-change1-497755,ozlabs-patch-836674,"[U-Boot,1/9] arm: zynq: Add missing ps7_post_config declaration",1
41,,ozlabs-patch-837868,"[U-Boot,v2,1/9] arm: zynq: Add missing ps7_post_config declaration",1
42,ozlabs-change1-507848,ozlabs-patch-1192036,[U-Boot] cmd/gpt: Address error cases during gpt rename more correctly,1
43,,ozlabs-patch-1226172,[PATCHv2] cmd/gpt: Address error cases during gpt rename more correctly,1
44,,ozlabs-patch-1226669,[PATCHv3] cmd/gpt: Address error cases during gpt rename more correctly,1
45,ozlabs-change1-491851,ozlabs-patch-1465184,[30/37] arm: imx8ulp: Probe the S400 MU device in arch init,1
46,,ozlabs-patch-1498183,"[V2,31/46] arm: imx8ulp: Probe the S400 MU device in arch init",1
47,,ozlabs-patch-1506793,"[V3,31/44] arm: imx8ulp: Probe the S400 MU device in arch init",1
48,,ozlabs-patch-1508229,"[V4,31/44] arm: imx8ulp: Probe the S400 MU device in arch init",1
49,,ozlabs-patch-1514616,"[V5,31/44] arm: imx8ulp: Probe the S400 MU device in arch init",1
50,ozlabs-change1-519360,ozlabs-patch-967786,"[U-Boot,2/8] efi_loader: console input ESC a - ESC z",1
51,,ozlabs-patch-968229,"[U-Boot,v2,07/13] efi_loader: console input ESC a - ESC z",1
52,ozlabs-change1-512604,ozlabs-patch-815371,"[U-Boot,12/14] ddr: altera: stratix10: Add DDR support for Stratix10 SoC",1
53,,ozlabs-patch-821766,"[U-Boot,v2,12/14] ddr: altera: stratix10: Add DDR support for Stratix10 SoC",1
54,,ozlabs-patch-900514,"[U-Boot,v1,14/16] ddr: altera: stratix10: Add DDR support for Stratix10 SoC",1
55,,ozlabs-patch-916087,"[U-Boot,v2,13/16] ddr: altera: stratix10: Add DDR support for Stratix10 SoC",1
56,,ozlabs-patch-918857,"[U-Boot,v3,08/10] ddr: altera: stratix10: Add DDR support for Stratix10 SoC",1
57,ozlabs-change1-565483,ozlabs-patch-175938,"[U-Boot,1/2] video:cache:fix: Buffer alignment and dcache flush for lcd subsystem",1
58,,ozlabs-patch-209080,"[U-Boot,RESEND] video:cache:fix: Buffer alignment and dcache flush for lcd subsystem",1
59,ozlabs-change1-560250,ozlabs-patch-163854,"[U-Boot,v3,03/14] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
60,,ozlabs-patch-166448,"[U-Boot,v4,03/13] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
61,,ozlabs-patch-167253,"[U-Boot,v5,03/13] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
62,,ozlabs-patch-168689,"[U-Boot,v6,03/15] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
63,,ozlabs-patch-171294,"[U-Boot,v7,03/15] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
64,,ozlabs-patch-177809,"[U-Boot,v8,03/15] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
65,,ozlabs-patch-178095,"[U-Boot,v9,03/15] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
66,,ozlabs-patch-180584,"[U-Boot,v10,03/16] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
67,,ozlabs-patch-181035,"[U-Boot,v11,03/16] tegra20: rename CONFIG_MACH_TEGRA_GENERIC",1
68,ozlabs-change1-543326,ozlabs-patch-190098,"[U-Boot,1/3] part: add partition number to disk_partition_t",1
69,,ozlabs-patch-190442,"[U-Boot,V2,1/3] part: add partition number to disk_partition_t",1
70,,ozlabs-patch-190806,"[U-Boot,V3,1/4] part: add partition number to disk_partition_t",1
71,ozlabs-change1-568528,ozlabs-patch-1229561,[063/108] x86: Rename board_final_cleanup() to board_final_init(),1
72,,ozlabs-patch-1309191,"[v1,42/43] x86: Rename board_final_cleanup() to board_final_init()",1
73,,ozlabs-patch-1324931,"[v2,43/44] x86: Rename board_final_cleanup() to board_final_init()",1
