change1_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change1-11129,ffmpeg-patch-40299,"[FFmpeg-devel,V5,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-02-06T09:45:49,1
ffmpeg-change1-11129,ffmpeg-patch-40601,"[FFmpeg-devel,V6,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-03-06T13:55:47,1
ffmpeg-change1-11129,ffmpeg-patch-41346,"[FFmpeg-devel,V7,2/3] lavfi/dnn: Modified DNN native backend related tools and docs.",2023-04-27T09:43:45,1
ffmpeg-change1-24741,ffmpeg-patch-39527,"[FFmpeg-devel,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2022-11-28T17:44:09,1
ffmpeg-change1-24741,ffmpeg-patch-39530,"[FFmpeg-devel,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2022-11-28T18:01:39,1
ffmpeg-change1-24741,ffmpeg-patch-39613,"[FFmpeg-devel,v2,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2022-12-05T12:22:12,1
ffmpeg-change1-24741,ffmpeg-patch-39614,"[FFmpeg-devel,v3,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2022-12-05T12:41:02,1
ffmpeg-change1-24741,ffmpeg-patch-39630,"[FFmpeg-devel,v5,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2022-12-06T14:36:17,1
ffmpeg-change1-24741,ffmpeg-patch-39908,"[FFmpeg-devel,v6,2/2] libavformat/dashenc: Enable HTTP persistent connections for dashenc_delete_file",2023-01-07T00:23:11,1
ffmpeg-change1-13637,ffmpeg-patch-39417,"[FFmpeg-devel,12/31] avformat/vorbiscomment: use av_dict_iterate",2022-11-25T01:30:27,1
ffmpeg-change1-13637,ffmpeg-patch-39468,"[FFmpeg-devel,v2,12/31] avformat/vorbiscomment: use av_dict_iterate",2022-11-26T14:46:29,1
ffmpeg-change1-11303,ffmpeg-patch-23971,"[FFmpeg-devel,2/2] qsv: dump more info in error, debug and verbose mode",2020-11-23T08:16:14,1
ffmpeg-change1-11303,ffmpeg-patch-24376,"[FFmpeg-devel,v2,2/2] qsv: dump more info in error, debug and verbose mode",2020-12-07T01:59:05,1
ffmpeg-change1-11303,ffmpeg-patch-24465,"[FFmpeg-devel,v3,2/2] qsv: dump more info in error, debug and verbose mode",2020-12-10T05:50:14,1
ffmpeg-change1-11303,ffmpeg-patch-24800,"[FFmpeg-devel,v4,2/2] qsv: dump more info in error, debug and verbose mode",2021-01-05T07:02:56,1
ffmpeg-change1-8790,ffmpeg-patch-40209,"[FFmpeg-devel,major,bump,5/6] avcodec/dynamic_hdr_vivid: reindent after the previous commit",2023-02-02T07:02:07,1
ffmpeg-change1-8790,ffmpeg-patch-40510,"[FFmpeg-devel,v2,8/9] avcodec/dynamic_hdr_vivid: reindent after the previous commit",2023-02-24T15:52:21,1
ffmpeg-change1-8790,ffmpeg-patch-40498,"[FFmpeg-devel,8/9] avcodec/dynamic_hdr_vivid: reindent after the previous commit",2023-02-24T21:08:47,1
ffmpeg-change1-21665,ffmpeg-patch-19503,"[FFmpeg-devel,08/10] avformat/nutenc: Cosmetics",2020-05-04T18:22:48,0
