change1_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change1-18923,ffmpeg-patch-29805,[FFmpeg-devel] avfilter: Implement gray world color correction Uses log LAB colorspace,2021-08-27T08:06:00,yes
ffmpeg-change1-18923,ffmpeg-patch-29806,[FFmpeg-devel] avfilter: Implement gray world color correction Uses log LAB colorspace,2021-08-27T08:53:55,yes
ffmpeg-change1-18923,ffmpeg-patch-29807,"[FFmpeg-devel,1/1] avfilter: Implement gray world color correction Uses log LAB colorspace",2021-08-27T09:17:39,yes
ffmpeg-change1-25094,ffmpeg-patch-19753,"[FFmpeg-devel,v5,4/9] libavutil/hwcontext_qsv: supporting d3d11va device type",2020-05-18T18:55:03,yes
ffmpeg-change1-25094,ffmpeg-patch-19759,"[FFmpeg-devel,v6,4/9] libavutil/hwcontext_qsv: supporting d3d11va device type",2020-05-18T20:29:29,yes
ffmpeg-change1-25094,ffmpeg-patch-23372,"[FFmpeg-devel,v7,2/8] libavutil/hwcontext_qsv: supporting d3d11va device type",2020-11-03T18:45:51,yes
ffmpeg-change1-25094,ffmpeg-patch-29007,"[FFmpeg-devel,2/8] libavutil/hwcontext_qsv: supporting d3d11va device type",2021-07-22T10:56:29,yes
ffmpeg-change1-25094,ffmpeg-patch-29653,"[FFmpeg-devel,2/9] libavutil/hwcontext_qsv: supporting d3d11va device type",2021-08-20T21:48:03,yes
ffmpeg-change1-25351,ffmpeg-patch-27802,"[FFmpeg-devel,v2,19/22] lavfi/deinterlace_qsv: re-use VPPContext for deinterlace_qsv filter",2021-05-17T03:24:23,yes
ffmpeg-change1-25351,ffmpeg-patch-28309,"[FFmpeg-devel,v3,19/22] lavfi/deinterlace_qsv: re-use VPPContext for deinterlace_qsv filter",2021-06-15T06:14:00,yes
ffmpeg-change1-25351,ffmpeg-patch-29107,"[FFmpeg-devel,v4,18/21] lavfi/deinterlace_qsv: re-use VPPContext for deinterlace_qsv filter",2021-07-29T05:25:06,yes
ffmpeg-change1-25351,ffmpeg-patch-29281,"[FFmpeg-devel,v5,18/20] lavfi/deinterlace_qsv: re-use VPPContext for deinterlace_qsv filter",2021-08-05T08:19:08,yes
