change2_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change2-11158,ffmpeg-patch-8258,[FFmpeg-devel] avcodec/aacdec_fixed: Fix integer overflow in apply_independent_coupling_fixed(),2018-03-31T19:44:23,0
ffmpeg-change2-11158,ffmpeg-patch-9411,"[FFmpeg-devel,4/4] avcodec/aacdec_fixed: Fix undefined integer overflow in apply_independent_coupling_fixed()",2018-06-14T15:15:18,0
ffmpeg-change2-24247,ffmpeg-patch-10718,[FFmpeg-devel] avformat/libsrt: add several options supported in srt 1.3.0,2018-10-19T12:47:06,1
ffmpeg-change2-24247,ffmpeg-patch-10743,[FFmpeg-devel] avformat/libsrt: add several options supported in srt 1.3.0 v2,2018-10-22T06:58:29,1
ffmpeg-change2-24247,ffmpeg-patch-10752,[FFmpeg-devel] avformat/libsrt: add several options supported in srt 1.3.0 v3,2018-10-23T04:34:29,1
ffmpeg-change2-14046,ffmpeg-patch-12455,"[FFmpeg-devel,1/1] Prevent writing manifest files multiple times",2019-03-26T20:38:18,1
ffmpeg-change2-14046,ffmpeg-patch-12644,"[FFmpeg-devel,1/1] libavformat/dashenc : Prevent writing manifest files multiple times",2019-04-08T12:53:52,1
ffmpeg-change2-26949,ffmpeg-patch-5326,[FFmpeg-devel] Added HW accelerated H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-09-28T18:58:02,1
ffmpeg-change2-26949,ffmpeg-patch-5721,[FFmpeg-devel] Added - HW accelerated H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-10-27T18:09:44,1
ffmpeg-change2-26949,ffmpeg-patch-5764,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-10-30T17:56:42,1
ffmpeg-change2-26949,ffmpeg-patch-5792,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-10-31T19:39:22,1
ffmpeg-change2-26949,ffmpeg-patch-5864,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-11-05T03:49:44,1
ffmpeg-change2-26949,ffmpeg-patch-6034,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-11-13T23:09:39,1
ffmpeg-change2-26949,ffmpeg-patch-6071,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-11-14T22:55:33,1
ffmpeg-change2-26949,ffmpeg-patch-6135,[FFmpeg-devel] Added HW H.264 and HEVC encoding for AMD GPUs based on AMF SDK,2017-11-17T05:07:22,1
