change1_original_id,patch_original_id,patch_name,date,is_correct
kernel-change1-617732,kernel-patch-7844631,"[RFC,2/2] arm64: Use PoU cache instr for I/D coherency",2015-12-14T13:27:44,1
kernel-change1-617732,kernel-patch-7854321,"[v2,2/2] arm64: Use PoU cache instr for I/D coherency",2015-12-15T12:56:18,1
kernel-change1-617732,kernel-patch-7860651,"[v3,2/2] arm64: Use PoU cache instr for I/D coherency",2015-12-16T10:11:30,1
kernel-change1-617732,kernel-patch-7871411,"[v4,2/2] arm64: Use PoU cache instr for I/D coherency",2015-12-17T09:38:32,1
kernel-change1-637620,kernel-patch-12269619,[1/1] spi-sun6i: Fix chipselect/clock bug,2021-05-20T10:06:56,1
kernel-change1-637620,kernel-patch-12273689,[1/1] spi-sun6i: Fix chipselect/clock bug,2021-05-21T20:19:13,1
kernel-change1-619592,kernel-patch-10299957,"[RFC,4/4] KVM: arm64: Optimise FPSIMD context switching",2018-03-21T17:47:33,0
kernel-change1-619592,kernel-patch-10418387,"[PULL,v8] KVM: arm64: Optimise FPSIMD context switching",2018-05-22T12:04:10,0
kernel-change1-596390,kernel-patch-9898891,[24/30] ARM: decompressor: explicitly map decompressor binary cacheable,2017-08-14T12:54:05,1
kernel-change1-596390,kernel-patch-9936211,"[v2,25/29] ARM: decompressor: explicitly map decompressor binary cacheable",2017-09-03T12:07:53,1
kernel-change1-602243,kernel-patch-2811481,[03/08] ARM: shmobile: Make EMEV2 platform devices more compact,2013-07-02T09:27:49,1
kernel-change1-602243,kernel-patch-2829325,[19/22] ARM: shmobile: Make EMEV2 platform devices more compact,2013-07-17T23:31:58,1
kernel-change1-535512,kernel-patch-10478431,"[v3,03/17] khwasan: add CONFIG_KASAN_GENERIC and CONFIG_KASAN_HW",2018-06-20T17:39:49,1
kernel-change1-535512,kernel-patch-10489009,"[v4,03/17] khwasan: add CONFIG_KASAN_GENERIC and CONFIG_KASAN_HW",2018-06-26T13:15:13,1
kernel-change1-535512,kernel-patch-10561755,"[v5,03/18] khwasan: add CONFIG_KASAN_GENERIC and CONFIG_KASAN_HW",2018-08-09T19:20:55,1
kernel-change1-535512,kernel-patch-10580031,"[v6,03/18] khwasan: add CONFIG_KASAN_GENERIC and CONFIG_KASAN_HW",2018-08-29T11:35:07,1
kernel-change1-542042,kernel-patch-4918581,[2/4] ARM: dts: cm-t54: add Startek LCD support,2014-09-16T16:35:20,1
kernel-change1-542042,kernel-patch-4924001,"[v2,4/6] ARM: dts: cm-t54: add Startek LCD support",2014-09-17T12:10:06,1
kernel-change1-590452,kernel-patch-12216873,"[RFC,v3,2/8] hugetlbfs: Use arch_get_mmap_* macros",2021-04-21T19:02:01,1
kernel-change1-590452,kernel-patch-12234293,"[v4,2/8] hugetlbfs: Use arch_get_mmap_* macros",2021-04-30T20:37:51,1
kernel-change1-590452,kernel-patch-12264255,"[RESEND,v4,2/8] hugetlbfs: Use arch_get_mmap_* macros",2021-05-18T09:06:52,1
kernel-change1-665042,kernel-patch-1363351,mxs/spi: Fix misuse of init_completion,2012-08-22T20:57:45,1
kernel-change1-665042,kernel-patch-1369591,[V2] mxs/spi: Fix misuse of init_completion,2012-08-24T02:33:44,1
kernel-change1-665042,kernel-patch-1369641,[V3] mxs/spi: Fix misuse of init_completion,2012-08-24T02:56:27,1
kernel-change1-663541,kernel-patch-10445927,[01/10] fsl/fman: share the event interrupt,2018-06-04T07:08:28,1
kernel-change1-663541,kernel-patch-10451085,"[v2,01/10] fsl/fman: share the event interrupt",2018-06-07T03:22:47,1
kernel-change1-663541,kernel-patch-10451499,"[v3,01/10] fsl/fman: share the event interrupt",2018-06-07T09:20:41,1
kernel-change1-663541,kernel-patch-10485873,"[v4,01/10] fsl/fman: share the event interrupt",2018-06-25T12:37:07,1
kernel-change1-589784,kernel-patch-9775069,[34/44] arm: remove arch specific dma_supported implementation,2017-06-08T13:25:59,1
kernel-change1-589784,kernel-patch-9792931,[34/44] arm: remove arch specific dma_supported implementation,2017-06-16T18:10:49,1
kernel-change1-556345,kernel-patch-7487541,[2/4] drivers: exynos-srom: Add support for bank configuration,2015-10-26T11:47:42,1
kernel-change1-556345,kernel-patch-7494741,"[v2,2/4] drivers: exynos-srom: Add support for bank configuration",2015-10-27T08:43:53,1
