change2_original_id,patch_original_id,patch_name,date,is_correct
ozlabs-change2-529783,ozlabs-patch-84141,[U-Boot] ARM: OMAP3: Revamp IGEP default configuration,2011-02-23T13:41:30,0
ozlabs-change2-529783,ozlabs-patch-84389,"[U-Boot,PATCHv2,1/2] ARM: OMAP3: Revamp IGEP v2 default configuration",2011-02-24T11:52:18,0
ozlabs-change2-529783,ozlabs-patch-84388,"[U-Boot,PATCHv2,2/2] ARM: OMAP3: Revamp IGEP module default configuration",2011-02-24T11:52:19,0
ozlabs-change2-564394,ozlabs-patch-1134927,"[U-Boot,20/35] rockchip: rk3288: Migrate to use common spl board file",2019-07-22T11:59:27,0
ozlabs-change2-564394,ozlabs-patch-1135077,"[U-Boot,18/24] rockchip: rk3288: Migrate to use common board file",2019-07-22T12:02:15,0
ozlabs-change2-535429,ozlabs-patch-480002,[U-Boot] x86: WIP: Enable debug UART for Minnowmax,2015-06-03T14:40:37,1
ozlabs-change2-535429,ozlabs-patch-502956,"[U-Boot,v2] x86: Enable debug UART for Minnowmax",2015-08-03T00:07:21,1
ozlabs-change2-586615,ozlabs-patch-1609502,ARM: imx: Decode ECSPI env location from i.MX8M ROMAPI tables,2022-03-25T17:59:28,0
ozlabs-change2-586615,ozlabs-patch-1615919,"[v2,10/23] ARM: imx: Decode ECSPI env location from i.MX8M ROMAPI tables",2022-04-11T19:45:30,0
ozlabs-change2-586615,ozlabs-patch-1714342,ARM: imx: Reinstate decode ECSPI env location from i.MX8M ROMAPI tables,2022-12-10T01:29:52,0
ozlabs-change2-530153,ozlabs-patch-126970,"[U-Boot,RFC,6/7] reboard: arm: Move over to generic relocation",2011-11-21T23:57:59,1
ozlabs-change2-530153,ozlabs-patch-130555,"[U-Boot,v2,5/6] reboard: arm: Move over to generic relocation",2011-12-10T19:16:15,1
ozlabs-change2-530153,ozlabs-patch-133256,"[U-Boot,v3,5/6] arm: Move over to generic relocation",2011-12-26T18:24:37,1
ozlabs-change2-530153,ozlabs-patch-136364,"[U-Boot,RESEND,v3,5/6] arm: Move over to generic relocation",2012-01-16T20:03:22,1
ozlabs-change2-530153,ozlabs-patch-142226,"[U-Boot,v4,12/13] arm: Move over to generic relocation",2012-02-21T01:32:54,1
ozlabs-change2-524108,ozlabs-patch-1642732,"[v7,4/9] menu: add KEY_PLUS and KEY_MINUS handling",2022-06-13T09:38:48,1
ozlabs-change2-524108,ozlabs-patch-1645104,"[v8,4/9] menu: add KEY_PLUS and KEY_MINUS handling",2022-06-19T04:56:02,1
ozlabs-change2-524108,ozlabs-patch-1656912,[4/9] menu: add KEY_PLUS and KEY_MINUS handling,2022-07-15T14:27:38,1
ozlabs-change2-524108,ozlabs-patch-1656922,"[RESEND,v9,4/9] menu: add KEY_PLUS and KEY_MINUS handling",2022-07-15T14:47:44,1
ozlabs-change2-524108,ozlabs-patch-1659339,"[v10,04/10] menu: add KEY_PLUS and KEY_MINUS handling",2022-07-22T02:39:13,1
ozlabs-change2-524108,ozlabs-patch-1667185,"[v11,3/9] menu: add KEY_PLUS, KEY_MINUS and KEY_SPACE handling",2022-08-17T09:36:08,1
ozlabs-change2-524108,ozlabs-patch-1669579,"[v12,3/9] menu: add KEY_PLUS, KEY_MINUS and KEY_SPACE handling",2022-08-24T04:27:43,1
