change2_original_id,patch_original_id,patch_name,date,is_correct
ozlabs-change2-286679,ozlabs-patch-466257,"[RFC,01/15] pci: allow cleanup/unregistration of PCI buses",2015-04-29T19:20:10,yes
ozlabs-change2-286679,ozlabs-patch-793564,"[for-2.11,12/26] pci: allow cleanup/unregistration of PCI buses",2017-07-25T18:00:34,yes
ozlabs-change2-286679,ozlabs-patch-1017203,[03/15] pci: allow cleanup/unregistration of PCI root buses,2018-12-21T00:35:30,yes
ozlabs-change2-286679,ozlabs-patch-1022231,"[PULL,17/29] pci: allow cleanup/unregistration of PCI root buses",2019-01-08T22:45:48,yes
ozlabs-change2-255774,ozlabs-patch-997732,"[for-3.2,41/41] build-sys: add a basic meson build",2018-11-14T12:36:43,yes
ozlabs-change2-255774,ozlabs-patch-1001452,"[v2,for-3.2,v2,30/30] build-sys: add a basic meson build",2018-11-21T22:06:47,yes
ozlabs-change2-255774,ozlabs-patch-1038948,"[slirp,2/5] build-sys: add a meson build",2019-02-08T18:11:19,no
ozlabs-change2-297986,ozlabs-patch-625907,"[RFC,v4,2/3] VFIO driver for mediated PCI device",2016-05-24T19:58:16,yes
ozlabs-change2-297986,ozlabs-patch-638122,[2/3] VFIO driver for mediated PCI device,2016-06-20T16:31:47,yes
ozlabs-change2-297986,ozlabs-patch-655559,"[v6,2/4] vfio: VFIO driver for mediated PCI device",2016-08-03T19:03:52,yes
ozlabs-change2-339608,ozlabs-patch-465479,"[RFC,v4,00/28] COarse-grain LOck-stepping(COLO) Virtual Machines for Non-stop Service",2015-04-28T10:51:28,no
ozlabs-change2-339608,ozlabs-patch-478185,"[COLO-Frame,v5,00/29] COarse-grain LOck-stepping(COLO) Virtual Machines for Non-stop Service",2015-05-28T16:24:02,no
ozlabs-change2-339608,ozlabs-patch-506409,"[COLO-Frame,v8,00/34] COarse-grain LOck-stepping(COLO) Virtual Machines for Non-stop Service (FT)",2015-08-12T08:20:44,no
ozlabs-change2-339608,ozlabs-patch-589340,"[COLO-Frame,v15,00/38] COarse-grain LOck-stepping(COLO) Virtual Machines for Non-stop Service (FT)",2016-02-27T07:54:59,no
ozlabs-change2-339608,ozlabs-patch-590516,"[COLO-Frame,v15,00/38] COarse-grain LOck-stepping(COLO) Virtual Machines for Non-stop Service (FT)",2016-03-01T12:25:54,no
ozlabs-change2-317506,ozlabs-patch-1514735,"[for,6.2,20/49] bsd-user: save the path the qemu emulator",2021-08-07T21:42:13,yes
ozlabs-change2-317506,ozlabs-patch-1521377,"[v2,18/43] bsd-user: save the path to the qemu emulator",2021-08-26T21:11:36,yes
ozlabs-change2-317506,ozlabs-patch-1523992,"[v3,18/43] bsd-user: save the path to the qemu emulator",2021-09-02T23:47:04,yes
ozlabs-change2-317506,ozlabs-patch-1525523,"[PULL,18/42] bsd-user: save the path to the qemu emulator",2021-09-07T21:53:08,yes
ozlabs-change2-231815,ozlabs-patch-1236058,"[RFC,11/66] Hexagon instruction attributes",2020-02-11T00:39:49,yes
ozlabs-change2-231815,ozlabs-patch-1246668,"[RFC,v2,12/67] Hexagon instruction attributes",2020-02-28T16:43:08,yes
ozlabs-change2-231815,ozlabs-patch-1347122,"[RFC,v3,12/34] Hexagon (target/hexagon) instruction attributes",2020-08-18T15:50:25,yes
ozlabs-change2-231815,ozlabs-patch-1372612,"[RFC,v4,12/29] Hexagon (target/hexagon) instruction attributes",2020-09-28T12:36:31,yes
ozlabs-change2-231815,ozlabs-patch-1372793,"[RFC,v4,12/29] Hexagon (target/hexagon) instruction attributes",2020-09-28T17:28:41,yes
ozlabs-change2-231815,ozlabs-patch-1390513,"[RFC,v5,12/33] Hexagon (target/hexagon) instruction attributes",2020-10-29T23:58:29,yes
ozlabs-change2-231815,ozlabs-patch-1390545,"[RFC,v5,12/33] Hexagon (target/hexagon) instruction attributes",2020-10-30T00:08:18,yes
ozlabs-change2-231815,ozlabs-patch-1423626,"[v6,12/35] Hexagon (target/hexagon) instruction attributes",2021-01-08T04:28:43,yes
ozlabs-change2-231815,ozlabs-patch-1429011,"[v7,12/35] Hexagon (target/hexagon) instruction attributes",2021-01-20T03:28:45,yes
ozlabs-change2-231815,ozlabs-patch-1437490,"[v8,12/35] Hexagon (target/hexagon) instruction attributes",2021-02-08T05:46:02,yes
ozlabs-change2-231815,ozlabs-patch-1441449,"[PULL,13/35] Hexagon (target/hexagon) instruction attributes",2021-02-17T23:40:01,yes
ozlabs-change2-329996,ozlabs-patch-763947,[1/4] split the tcg accelerator from accel.c file,2017-05-18T19:14:52,yes
ozlabs-change2-329996,ozlabs-patch-764426,"[v0,1/4] accel: split the tcg accelerator from accel.c file",2017-05-19T05:09:40,yes
ozlabs-change2-329996,ozlabs-patch-770078,"[v3,1/4] accel: split the tcg accelerator from accel.c file",2017-06-02T06:06:43,yes
ozlabs-change2-329996,ozlabs-patch-776229,"[PULL,20/41] accel: split the tcg accelerator from accel.c file",2017-06-15T10:52:40,yes
ozlabs-change2-329347,ozlabs-patch-695664,translate-all: Enable locking debug in a debug build,2016-11-16T15:37:05,yes
ozlabs-change2-329347,ozlabs-patch-700335,mttcg: translate-all: Enable locking debug in a debug build,2016-11-29T06:35:03,yes
ozlabs-change2-329347,ozlabs-patch-717247,"[v7,02/27] mttcg: translate-all: Enable locking debug in a debug build",2017-01-19T17:04:42,yes
ozlabs-change2-329347,ozlabs-patch-720574,"[v8,02/25] mttcg: translate-all: Enable locking debug in a debug build",2017-01-27T10:34:42,yes
