metric,count,mean,std,min,25%,50%,75%,max
reviewer_count,12956,1.5824328496449522,1.1029501583990842,1.0,1.0,1.0,2.0,14.0
author_count,12956,1.0275548008644644,0.16834256780958057,1.0,1.0,1.0,1.0,3.0
comment_count,12956,4.04492127199753,5.206894637048338,1.0,1.0,2.0,5.0,134.0
iteration_count,12956,1.6613152207471442,1.5341600472839172,1.0,1.0,1.0,2.0,37.0
changed_lines_avg,12956,92.55351077887741,478.2839374590389,0.5,4.0,12.0,44.5,25300.5
changed_files_avg,12956,2.5817246341453695,11.279434353948808,1.0,1.0,1.0,2.0,513.0
changed_lines_last,12956,93.04005866008028,482.7423317480009,0.0,4.0,12.0,44.0,25301.0
changed_files_last,12956,2.6131522074714417,11.392046424590772,1.0,1.0,1.0,2.0,513.0
response_time,12923,150.99578748484612,895.6594075649031,0.0052777777777777,1.472361111111111,9.923055555555557,43.537499999999994,26739.402777777777
finalizing_time,12946,483.36400061366015,1873.0911880462565,0.0130555555555555,14.294999999999998,49.89875,230.88895833333333,47614.63666666667
is_accepted,12956,7416.0,,,,,,
